default_id,loan_id,default_date,default_reason,outstanding_at_default,recovery_amount,recovery_status,days_to_default,npl_classification,provision_amount,source_system,record_created_at
DEF0000041,LOAN0001992,2019-08-14,Overcommitment,1508738.92,608127.92,Partially Recovered,1025,Substandard,109565.77,RISK_MANAGEMENT,2026-04-18 13:21:59.604291
DEF0000042,LOAN0017060,2020-07-02,Business Failure,1400526.62,502758.76,Legal Recovery In Progress,537,Doubtful,444717.07,RISK_MANAGEMENT,2026-04-18 13:21:59.604328
DEF0000043,LOAN0015823,2020-03-23,Business Failure,1849286.34,976876.1,Fully Recovered,1351,Substandard,242113.66,RISK_MANAGEMENT,2026-04-18 13:21:59.604365
DEF0000044,LOAN0008674,2021-08-14,Economic Downturn,1449954.42,127510.16,Legal Recovery In Progress,1263,Loss,26591.29,RISK_MANAGEMENT,2026-04-18 13:21:59.604400
DEF0000045,LOAN0008982,2020-03-21,Death,1178395.68,394932.39,Sold to Debt Buyer,449,Substandard,25931.61,RISK_MANAGEMENT,2026-04-18 13:21:59.604465
DEF0000046,LOAN0003538,2024-02-15,Economic Downturn,815567.95,88728.03,Fully Recovered,1251,Substandard,56615.03,RISK_MANAGEMENT,2026-04-18 13:21:59.604504
DEF0000047,LOAN0004608,2019-12-18,Job Loss,881180.74,387198.56,Written-Off,402,Substandard,59498.68,RISK_MANAGEMENT,2026-04-18 13:21:59.604540
DEF0000048,LOAN0008860,2022-11-17,Fraud,466829.86,96967.05,Fully Recovered,1568,Doubtful,80845.0,RISK_MANAGEMENT,2026-04-18 13:21:59.604580
DEF0000049,LOAN0014801,2021-01-20,Business Failure,849100.18,296625.79,Partially Recovered,252,Doubtful,65494.02,RISK_MANAGEMENT,2026-04-18 13:21:59.604625
DEF0000050,LOAN0010292,2019-06-27,Overcommitment,1468911.76,88492.99,Written-Off,1037,Doubtful,449439.58,RISK_MANAGEMENT,2026-04-18 13:21:59.604662
DEF0000051,LOAN0014277,2019-09-06,Business Failure,1834773.61,309634.99,Written-Off,1770,Substandard,497537.5,RISK_MANAGEMENT,2026-04-18 13:21:59.604697
DEF0000052,LOAN0003024,2024-01-25,Business Failure,180966.63,1714.59,Partially Recovered,1542,Loss,488768.3,RISK_MANAGEMENT,2026-04-18 13:21:59.604733
DEF0000053,LOAN0005238,2024-07-04,Overcommitment,1792049.45,480864.92,Partially Recovered,424,Doubtful,453271.59,RISK_MANAGEMENT,2026-04-18 13:21:59.604770
DEF0000054,LOAN0009376,2023-10-08,Economic Downturn,1057644.34,139938.78,Fully Recovered,1266,Substandard,300486.28,RISK_MANAGEMENT,2026-04-18 13:21:59.604807
DEF0000055,LOAN0012328,2019-03-03,Business Failure,148675.91,35139.44,Written-Off,1440,Doubtful,192927.23,RISK_MANAGEMENT,2026-04-18 13:21:59.604843
DEF0000056,LOAN0009290,2022-10-18,Job Loss,1321469.67,604422.98,Sold to Debt Buyer,1101,Substandard,273217.81,RISK_MANAGEMENT,2026-04-18 13:21:59.604879
DEF0000057,LOAN0014459,2019-12-07,Divorce,1778621.84,216488.99,Written-Off,1635,Substandard,275543.29,RISK_MANAGEMENT,2026-04-18 13:21:59.604914
DEF0000058,LOAN0016094,2019-02-18,Business Failure,400189.01,106292.52,Legal Recovery In Progress,1248,Loss,450362.97,RISK_MANAGEMENT,2026-04-18 13:21:59.604951
DEF0000059,LOAN0016962,2024-08-28,Overcommitment,1837248.95,655461.6,Sold to Debt Buyer,725,Substandard,162168.35,RISK_MANAGEMENT,2026-04-18 13:21:59.604996
DEF0000060,LOAN0008392,2022-08-21,Economic Downturn,1926471.67,199186.6,Fully Recovered,267,Doubtful,168919.35,RISK_MANAGEMENT,2026-04-18 13:21:59.605041
DEF0000061,LOAN0017533,2020-07-26,Death,626150.47,190855.76,Written-Off,850,Loss,217620.92,RISK_MANAGEMENT,2026-04-18 13:21:59.605076
DEF0000062,LOAN0005499,2024-01-21,Business Failure,1044537.82,508247.7,Written-Off,1160,Loss,54603.55,RISK_MANAGEMENT,2026-04-18 13:21:59.605112
DEF0000063,LOAN0011403,2021-02-11,Job Loss,1067131.46,254757.66,Legal Recovery In Progress,733,Doubtful,296291.14,RISK_MANAGEMENT,2026-04-18 13:21:59.605147
DEF0000064,LOAN0000490,2022-02-06,Death,1674053.09,24838.59,Legal Recovery In Progress,485,Loss,328180.73,RISK_MANAGEMENT,2026-04-18 13:21:59.605182
DEF0000065,LOAN0015994,2022-04-18,Divorce,1295758.68,386204.18,Legal Recovery In Progress,368,Doubtful,455280.56,RISK_MANAGEMENT,2026-04-18 13:21:59.605219
DEF0000066,LOAN0017434,2021-06-30,Overcommitment,744794.59,382214.66,Written-Off,291,Substandard,240356.66,RISK_MANAGEMENT,2026-04-18 13:21:59.605256
DEF0000067,LOAN0013294,2023-05-02,Business Failure,566043.77,106535.07,Written-Off,991,Doubtful,126628.48,RISK_MANAGEMENT,2026-04-18 13:21:59.605292
DEF0000068,LOAN0011640,2020-09-10,Overcommitment,571588.55,228333.98,Partially Recovered,696,Loss,72833.83,RISK_MANAGEMENT,2026-04-18 13:21:59.605329
DEF0000069,LOAN0008250,2023-07-23,Overcommitment,1828174.14,213872.5,Partially Recovered,745,Doubtful,285570.69,RISK_MANAGEMENT,2026-04-18 13:21:59.605366
DEF0000070,LOAN0015025,2019-02-03,Job Loss,87533.88,42924.44,Written-Off,1120,Substandard,201842.54,RISK_MANAGEMENT,2026-04-18 13:21:59.605401
DEF0000071,LOAN0009204,2021-08-20,Overcommitment,806894.25,298064.17,Legal Recovery In Progress,1686,Substandard,408915.0,RISK_MANAGEMENT,2026-04-18 13:21:59.605466
DEF0000072,LOAN0001650,2023-11-01,Job Loss,1073680.12,566829.14,Fully Recovered,832,Doubtful,480031.62,RISK_MANAGEMENT,2026-04-18 13:21:59.605504
DEF0000073,LOAN0006384,2024-05-21,Economic Downturn,747020.55,244347.92,Legal Recovery In Progress,623,Doubtful,237099.14,RISK_MANAGEMENT,2026-04-18 13:21:59.605540
DEF0000074,LOAN0002240,2022-02-25,Overcommitment,1244482.24,410690.08,Partially Recovered,438,Substandard,159501.6,RISK_MANAGEMENT,2026-04-18 13:21:59.605575
DEF0000075,LOAN0000199,2019-07-22,Job Loss,732016.0,323835.11,Sold to Debt Buyer,776,Loss,322793.45,RISK_MANAGEMENT,2026-04-18 13:21:59.605624
DEF0000076,LOAN0008034,2022-10-26,Business Failure,1916747.43,83092.51,Fully Recovered,1250,Substandard,377283.47,RISK_MANAGEMENT,2026-04-18 13:21:59.605661
DEF0000077,LOAN0015853,2023-04-15,Job Loss,987049.26,325308.71,Fully Recovered,283,Doubtful,488894.12,RISK_MANAGEMENT,2026-04-18 13:21:59.605696
DEF0000078,LOAN0005541,2022-11-16,Business Failure,1145785.4,628526.37,Legal Recovery In Progress,694,Doubtful,168341.21,RISK_MANAGEMENT,2026-04-18 13:21:59.605732
DEF0000079,LOAN0017808,2022-07-13,Job Loss,1834197.06,663724.69,Sold to Debt Buyer,1380,Substandard,399492.34,RISK_MANAGEMENT,2026-04-18 13:21:59.605767
DEF0000080,LOAN0000155,2022-06-12,Business Failure,1215778.23,481807.16,Legal Recovery In Progress,1744,Loss,38698.64,RISK_MANAGEMENT,2026-04-18 13:21:59.605802
DEF0000081,LOAN0001218,2024-10-07,Overcommitment,1293882.35,464462.81,Legal Recovery In Progress,880,Substandard,182201.7,RISK_MANAGEMENT,2026-04-18 13:21:59.605837
DEF0000082,LOAN0008827,2022-12-09,Business Failure,68985.39,33439.57,Written-Off,934,Doubtful,250846.9,RISK_MANAGEMENT,2026-04-18 13:21:59.605872
DEF0000083,LOAN0014393,2020-09-26,Divorce,532412.08,88749.26,Written-Off,627,Substandard,362546.29,RISK_MANAGEMENT,2026-04-18 13:21:59.605907
DEF0000084,LOAN0017100,2024-04-13,Business Failure,251152.81,108566.08,Partially Recovered,1213,Substandard,134259.32,RISK_MANAGEMENT,2026-04-18 13:21:59.605942
DEF0000085,LOAN0004893,2020-10-18,Job Loss,1981689.67,468099.73,Legal Recovery In Progress,639,Substandard,285766.08,RISK_MANAGEMENT,2026-04-18 13:21:59.605977
DEF0000086,LOAN0009003,2019-05-05,Business Failure,663263.87,118429.8,Sold to Debt Buyer,1398,Substandard,476283.92,RISK_MANAGEMENT,2026-04-18 13:21:59.606012
DEF0000087,LOAN0014248,2020-08-17,Job Loss,723762.31,174410.72,Written-Off,403,Substandard,236694.13,RISK_MANAGEMENT,2026-04-18 13:21:59.606047
DEF0000088,LOAN0016910,2022-11-05,Overcommitment,1382623.83,186392.3,Partially Recovered,1024,Loss,151258.87,RISK_MANAGEMENT,2026-04-18 13:21:59.606100
DEF0000089,LOAN0013816,2019-03-21,Economic Downturn,142249.96,1921.19,Written-Off,1276,Substandard,110851.87,RISK_MANAGEMENT,2026-04-18 13:21:59.606137
DEF0000090,LOAN0006266,2019-12-21,Business Failure,1055631.01,458433.54,Written-Off,1086,Substandard,21737.4,RISK_MANAGEMENT,2026-04-18 13:21:59.606172
DEF0000091,LOAN0017278,2023-06-24,Economic Downturn,1478632.11,492752.95,Legal Recovery In Progress,1780,Loss,183471.54,RISK_MANAGEMENT,2026-04-18 13:21:59.606207
DEF0000092,LOAN0005684,2023-09-27,Job Loss,80243.79,25278.64,Partially Recovered,144,Substandard,120812.27,RISK_MANAGEMENT,2026-04-18 13:21:59.606242
DEF0000093,LOAN0010171,2024-04-12,Unknown,1891156.5,744909.49,Partially Recovered,924,Doubtful,234874.19,RISK_MANAGEMENT,2026-04-18 13:21:59.606278
DEF0000094,LOAN0003256,2020-12-11,Job Loss,690410.59,153761.45,Legal Recovery In Progress,439,Substandard,222317.77,RISK_MANAGEMENT,2026-04-18 13:21:59.606313
DEF0000095,LOAN0017534,2019-09-21,Fraud,1858596.09,536642.37,Partially Recovered,451,Substandard,240198.62,RISK_MANAGEMENT,2026-04-18 13:21:59.606351
DEF0000096,LOAN0009470,2021-01-16,Business Failure,1152840.29,325483.36,Sold to Debt Buyer,395,Substandard,48297.59,RISK_MANAGEMENT,2026-04-18 13:21:59.606386
DEF0000097,LOAN0005838,2022-12-20,Economic Downturn,227342.64,102375.26,Written-Off,170,Substandard,384082.08,RISK_MANAGEMENT,2026-04-18 13:21:59.606442
DEF0000098,LOAN0017563,2023-05-08,Divorce,1790728.21,821139.48,Written-Off,1390,Loss,471949.17,RISK_MANAGEMENT,2026-04-18 13:21:59.606487
DEF0000099,LOAN0015272,2020-06-02,Job Loss,1898508.74,720039.24,Partially Recovered,1717,Substandard,462412.55,RISK_MANAGEMENT,2026-04-18 13:21:59.606524
DEF0000100,LOAN0000938,2023-04-23,Overcommitment,1728637.94,129105.23,Legal Recovery In Progress,1391,Doubtful,138975.93,RISK_MANAGEMENT,2026-04-18 13:21:59.606559
DEF0000101,LOAN0016580,2020-02-10,Medical Emergency,1642266.72,226267.62,Sold to Debt Buyer,1533,Doubtful,388011.66,RISK_MANAGEMENT,2026-04-18 13:21:59.606606
DEF0000102,LOAN0009772,2022-01-08,Divorce,1275553.34,144229.72,Written-Off,345,Loss,18465.4,RISK_MANAGEMENT,2026-04-18 13:21:59.606645
DEF0000103,LOAN0014664,2023-05-30,Job Loss,1126501.23,15902.38,Partially Recovered,823,Loss,52934.74,RISK_MANAGEMENT,2026-04-18 13:21:59.606682
DEF0000104,LOAN0006398,2023-03-29,Economic Downturn,1287588.92,26356.46,Partially Recovered,1701,Substandard,263213.33,RISK_MANAGEMENT,2026-04-18 13:21:59.606717
DEF0000105,LOAN0016493,2020-07-11,Job Loss,670358.36,324280.3,Sold to Debt Buyer,1752,Doubtful,358176.25,RISK_MANAGEMENT,2026-04-18 13:21:59.606752
DEF0000106,LOAN0011646,2022-04-28,Economic Downturn,1887589.53,620466.44,Legal Recovery In Progress,455,Doubtful,159687.96,RISK_MANAGEMENT,2026-04-18 13:21:59.606787
DEF0000107,LOAN0002587,2020-01-04,Divorce,954805.38,307214.91,Written-Off,308,Doubtful,189293.03,RISK_MANAGEMENT,2026-04-18 13:21:59.606822
DEF0000108,LOAN0012613,2020-12-18,Job Loss,284226.79,34969.06,Legal Recovery In Progress,1777,Loss,218652.75,RISK_MANAGEMENT,2026-04-18 13:21:59.606857
DEF0000109,LOAN0011557,2021-10-12,Overcommitment,1334018.99,530261.52,Legal Recovery In Progress,802,Loss,310569.48,RISK_MANAGEMENT,2026-04-18 13:21:59.606892
DEF0000110,LOAN0003223,2019-03-30,Overcommitment,378023.04,105838.72,Written-Off,1182,Substandard,99991.89,RISK_MANAGEMENT,2026-04-18 13:21:59.606929
DEF0000111,LOAN0012943,2024-07-04,Overcommitment,1392810.96,631737.61,Written-Off,1350,Substandard,113142.05,RISK_MANAGEMENT,2026-04-18 13:21:59.606964
DEF0000112,LOAN0016050,2024-08-08,Job Loss,178508.67,61149.98,Written-Off,949,Substandard,169918.31,RISK_MANAGEMENT,2026-04-18 13:21:59.606999
DEF0000113,LOAN0005694,2024-05-20,Death,1773850.21,434086.67,Fully Recovered,1307,Doubtful,209340.34,RISK_MANAGEMENT,2026-04-18 13:21:59.607033
DEF0000114,LOAN0010405,2023-09-01,Economic Downturn,896655.11,311120.99,Partially Recovered,230,Loss,128216.33,RISK_MANAGEMENT,2026-04-18 13:21:59.607069
DEF0000115,LOAN0004613,2024-08-20,Death,1251321.12,9977.62,Partially Recovered,938,Substandard,248607.78,RISK_MANAGEMENT,2026-04-18 13:21:59.607107
DEF0000116,LOAN0015203,2022-03-18,Fraud,592747.88,270574.03,Partially Recovered,1472,Doubtful,123033.11,RISK_MANAGEMENT,2026-04-18 13:21:59.607157
DEF0000117,LOAN0016542,2024-04-24,Job Loss,1174537.38,634427.77,Written-Off,1545,Loss,143759.69,RISK_MANAGEMENT,2026-04-18 13:21:59.607199
DEF0000118,LOAN0005242,2023-12-29,Economic Downturn,1138224.02,550470.18,Legal Recovery In Progress,1659,Doubtful,489121.26,RISK_MANAGEMENT,2026-04-18 13:21:59.607235
DEF0000119,LOAN0001159,2020-03-17,Divorce,1655847.31,489064.03,Written-Off,1696,Doubtful,473666.24,RISK_MANAGEMENT,2026-04-18 13:21:59.607269
DEF0000120,LOAN0017207,2020-02-09,Economic Downturn,771628.17,92563.75,Written-Off,270,Loss,466255.37,RISK_MANAGEMENT,2026-04-18 13:21:59.607304
DEF0000121,LOAN0011477,2019-04-24,Death,1200894.71,493039.22,Legal Recovery In Progress,256,Doubtful,373314.33,RISK_MANAGEMENT,2026-04-18 13:21:59.607345
DEF0000122,LOAN0003194,2019-09-01,Job Loss,1211183.19,106207.44,Partially Recovered,707,Doubtful,430742.19,RISK_MANAGEMENT,2026-04-18 13:21:59.607381
DEF0000123,LOAN0009709,2020-02-12,Business Failure,68501.17,35450.05,Written-Off,249,Substandard,427157.38,RISK_MANAGEMENT,2026-04-18 13:21:59.607438
DEF0000124,LOAN0001818,2023-01-31,Job Loss,598251.68,124680.66,Written-Off,665,Substandard,153556.19,RISK_MANAGEMENT,2026-04-18 13:21:59.607483
DEF0000125,LOAN0000747,2019-12-05,Business Failure,339597.64,84031.78,Written-Off,663,Loss,6463.4,RISK_MANAGEMENT,2026-04-18 13:21:59.607519
DEF0000126,LOAN0015350,2023-12-27,Overcommitment,497732.02,240191.75,Written-Off,1636,Loss,345955.09,RISK_MANAGEMENT,2026-04-18 13:21:59.607555
DEF0000127,LOAN0013432,2024-07-03,Job Loss,1720037.9,691540.51,Fully Recovered,336,Loss,152263.21,RISK_MANAGEMENT,2026-04-18 13:21:59.607601
DEF0000128,LOAN0006720,2022-01-04,Economic Downturn,1597058.07,254527.9,Sold to Debt Buyer,1321,Substandard,181681.3,RISK_MANAGEMENT,2026-04-18 13:21:59.607639
DEF0000129,LOAN0004476,2024-09-07,Divorce,836449.39,101877.78,Partially Recovered,618,Substandard,33973.27,RISK_MANAGEMENT,2026-04-18 13:21:59.607675
DEF0000130,LOAN0001212,2022-10-04,Economic Downturn,987922.53,178476.9,Written-Off,1173,Doubtful,488115.35,RISK_MANAGEMENT,2026-04-18 13:21:59.607711
DEF0000131,LOAN0006123,2021-07-05,Business Failure,510722.19,129918.95,Partially Recovered,528,Substandard,91461.2,RISK_MANAGEMENT,2026-04-18 13:21:59.607746
DEF0000132,LOAN0017046,2019-06-12,Job Loss,968326.95,338499.76,Legal Recovery In Progress,1232,Substandard,121268.14,RISK_MANAGEMENT,2026-04-18 13:21:59.607783
DEF0000133,LOAN0000907,2021-01-01,Business Failure,1720145.59,861444.87,Written-Off,998,Loss,163216.13,RISK_MANAGEMENT,2026-04-18 13:21:59.607820
DEF0000134,LOAN0001890,2019-08-30,Overcommitment,536876.38,286060.26,Written-Off,721,Substandard,313543.71,RISK_MANAGEMENT,2026-04-18 13:21:59.607856
DEF0000135,LOAN0006589,2020-01-02,Business Failure,987395.17,462109.28,Written-Off,401,Substandard,260125.7,RISK_MANAGEMENT,2026-04-18 13:21:59.607895
DEF0000136,LOAN0008673,2024-09-04,Divorce,909714.75,269978.4,Partially Recovered,650,Doubtful,50341.64,RISK_MANAGEMENT,2026-04-18 13:21:59.607931
DEF0000137,LOAN0017522,2019-03-12,Fraud,1664465.83,626899.17,Partially Recovered,739,Doubtful,103100.78,RISK_MANAGEMENT,2026-04-18 13:21:59.607966
DEF0000138,LOAN0006299,2022-02-12,Overcommitment,477096.75,62539.32,Written-Off,331,Doubtful,281175.07,RISK_MANAGEMENT,2026-04-18 13:21:59.608001
DEF0000139,LOAN0010093,2023-06-29,Medical Emergency,1304172.16,409042.98,Partially Recovered,741,Doubtful,457045.75,RISK_MANAGEMENT,2026-04-18 13:21:59.608036
DEF0000140,LOAN0011224,2022-01-26,Business Failure,1944129.63,643942.04,Written-Off,1548,Substandard,344280.68,RISK_MANAGEMENT,2026-04-18 13:21:59.608071
DEF0000141,LOAN0012270,2019-08-24,Medical Emergency,735747.68,265096.36,Written-Off,933,Substandard,315272.47,RISK_MANAGEMENT,2026-04-18 13:21:59.608106
DEF0000142,LOAN0003260,2024-07-25,Job Loss,1741928.86,923185.0,Written-Off,1625,Doubtful,435247.65,RISK_MANAGEMENT,2026-04-18 13:21:59.608142
DEF0000143,LOAN0009352,2019-06-09,Business Failure,1349341.77,449613.28,Fully Recovered,1336,Substandard,312915.04,RISK_MANAGEMENT,2026-04-18 13:21:59.608177
DEF0000144,LOAN0004625,2023-01-16,Divorce,1716443.16,638137.21,Legal Recovery In Progress,1619,Loss,96090.14,RISK_MANAGEMENT,2026-04-18 13:21:59.608217
DEF0000145,LOAN0015539,2022-07-17,Medical Emergency,1814404.34,112863.16,Partially Recovered,422,Substandard,242465.7,RISK_MANAGEMENT,2026-04-18 13:21:59.608281
DEF0000146,LOAN0000401,2020-12-12,Business Failure,241386.85,68246.89,Fully Recovered,150,Substandard,164425.66,RISK_MANAGEMENT,2026-04-18 13:21:59.608319
DEF0000147,LOAN0016171,2021-03-08,Medical Emergency,109940.75,38161.87,Written-Off,318,Substandard,25774.88,RISK_MANAGEMENT,2026-04-18 13:21:59.608357
DEF0000148,LOAN0014767,2021-05-08,Job Loss,1688716.2,340348.74,Partially Recovered,823,Loss,34621.53,RISK_MANAGEMENT,2026-04-18 13:21:59.608392
DEF0000149,LOAN0000123,2022-02-04,Job Loss,132814.46,67805.33,Partially Recovered,1292,Substandard,238236.39,RISK_MANAGEMENT,2026-04-18 13:21:59.608455
DEF0000150,LOAN0005830,2024-02-19,Job Loss,798030.2,116732.71,Written-Off,105,Substandard,309529.97,RISK_MANAGEMENT,2026-04-18 13:21:59.608495
DEF0000151,LOAN0006672,2022-07-02,Divorce,103110.62,14139.11,Written-Off,625,Doubtful,72800.82,RISK_MANAGEMENT,2026-04-18 13:21:59.608531
DEF0000152,LOAN0002728,2023-10-14,Business Failure,1553187.25,32116.92,Written-Off,1461,Doubtful,59634.69,RISK_MANAGEMENT,2026-04-18 13:21:59.608566
DEF0000153,LOAN0003566,2021-12-15,Job Loss,111146.29,35627.74,Partially Recovered,1608,Substandard,100982.45,RISK_MANAGEMENT,2026-04-18 13:21:59.608612
DEF0000154,LOAN0013845,2024-12-04,Job Loss,1600768.29,662021.57,Written-Off,273,Loss,12365.61,RISK_MANAGEMENT,2026-04-18 13:21:59.608650
DEF0000155,LOAN0017686,2023-06-13,Overcommitment,1929587.75,667966.6,Legal Recovery In Progress,587,Loss,241610.14,RISK_MANAGEMENT,2026-04-18 13:21:59.608705
