loan_id,customer_id,loan_type,loan_amount,interest_rate,loan_term_months,loan_start_date,loan_end_date,current_balance,loan_status,origination_branch,collateral_type,source_system,record_created_at
LOAN0000016,CUST009387,Business Loan,4022782.8,21.8,84,2019-02-06,2025-12-31,873734.84,Active,BR004,Cash Deposit,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000017,CUST006566,Home Loan,1581433.73,8.94,240,2019-09-23,2039-06-10,1395403.12,Active,BR006,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000018,CUST005653,Vehicle Finance,218026.97,13.09,72,2020-12-06,2026-11-05,83085.48,Active,BR005,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000019,CUST006430,Vehicle Finance,517946.67,17.32,72,2020-01-13,2025-12-12,111440.41,Active,BR042,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000020,CUST006899,Personal Loan,48507.25,28.91,60,2019-04-30,2024-04-03,5311.22,Active,BR027,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000021,CUST007206,Home Loan,2959961.1,8.7,240,2018-04-30,2038-01-15,2213818.97,Active,BR009,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000022,CUST004221,Vehicle Finance,274999.99,15.01,72,2022-05-12,2028-04-10,152766.78,Active,BR028,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000023,CUST004140,Credit Card,72884.27,21.51,12,2020-08-20,2021-08-15,2169.84,Active,BR032,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000024,CUST009964,Home Loan,1655107.02,10.52,240,2023-03-31,2042-12-16,1651681.15,Active,BR017,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000025,CUST003887,Vehicle Finance,364297.94,10.37,72,2018-12-28,2024-11-26,39389.46,Active,BR027,Cash Deposit,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000026,CUST004003,Personal Loan,81235.42,18.92,60,2023-04-25,2028-03-29,63503.4,Active,BR017,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000027,CUST000666,Home Loan,1124153.6,10.26,240,2018-03-19,2037-12-04,779430.65,Active,BR021,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000028,CUST006328,Home Loan,1546444.57,10.45,240,2021-06-11,2041-02-26,1326608.45,Active,BR044,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000029,CUST004072,Home Loan,1312821.7,12.36,240,2020-07-12,2040-03-29,1060047.26,Active,BR002,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000030,CUST009599,Business Loan,3253345.69,14.01,84,2022-03-22,2029-02-13,2005225.59,Active,BR049,Cash Deposit,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000031,CUST009515,Personal Loan,109705.74,14.92,60,2020-10-30,2025-10-04,32241.61,Active,BR030,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000032,CUST000403,Business Loan,3854577.09,11.88,84,2023-12-07,2030-10-31,3131474.59,Active,BR040,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000033,CUST006806,Business Loan,3941479.39,14.55,84,2019-01-24,2025-12-18,369622.92,Default,BR038,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000034,CUST004537,Home Loan,1254633.07,11.61,240,2018-12-07,2038-08-24,1018695.47,Active,BR029,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000035,CUST006818,Personal Loan,94230.96,23.41,60,2022-08-10,2027-07-15,48107.38,Default,BR037,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000036,CUST004658,Home Loan,1666985.06,11.63,240,2021-10-16,2041-07-03,1332116.43,Active,BR046,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000037,CUST002357,Home Loan,2028201.31,12.17,240,2021-12-03,2041-08-20,1683188.35,Active,BR043,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000038,CUST009052,Home Loan,1255710.26,8.98,240,2022-01-20,2041-10-07,1054365.81,Active,BR037,Surety,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000039,CUST003629,Vehicle Finance,217776.14,14.48,72,2022-03-05,2028-02-02,125591.82,Active,BR039,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000040,CUST007602,Personal Loan,110265.11,23.68,60,2020-11-22,2025-10-27,13290.93,Active,BR046,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000041,CUST009596,Credit Card,40927.47,21.04,12,2019-11-15,2020-11-09,0.0,Closed,BR039,Cash Deposit,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000042,CUST000136,Home Loan,2275920.45,10.31,240,2018-10-28,2038-07-15,1602538.72,Active,BR030,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000043,CUST000362,Home Loan,2210064.5,8.84,240,2020-10-07,2040-06-24,1737673.63,Active,BR005,Surety,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000044,CUST003343,Personal Loan,149023.37,14.91,60,2023-08-09,2028-07-13,121277.67,Active,BR035,Surety,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000045,CUST002954,Credit Card,39733.75,20.11,12,2020-03-19,2021-03-14,0.0,Closed,BR017,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000046,CUST008411,Vehicle Finance,571645.86,15.57,72,2019-03-04,2025-01-31,42756.52,Active,BR034,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000047,CUST006610,Home Loan,2171633.44,8.9,240,2020-05-04,2040-01-20,1803972.89,Active,BR016,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000048,CUST009620,Personal Loan,141096.18,19.71,60,2022-08-07,2027-07-12,84304.02,Active,BR010,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000049,CUST000062,Credit Card,52390.96,22.29,12,2020-03-03,2021-02-26,5976.6,Active,BR033,Surety,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000050,CUST002022,Home Loan,2095036.51,9.17,240,2022-06-02,2042-02-17,1899186.34,Active,BR022,Cash Deposit,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000051,CUST005217,Home Loan,2337778.36,10.39,240,2021-10-10,2041-06-27,1867290.17,Active,BR022,Surety,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000052,CUST001006,Home Loan,2971493.37,11.42,240,2023-07-27,2043-04-13,2905568.52,Active,BR010,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000053,CUST003508,Vehicle Finance,410572.85,12.1,72,2019-12-28,2025-11-26,102967.19,Active,BR031,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000054,CUST001438,Vehicle Finance,264743.19,10.19,72,2023-06-26,2029-05-25,188745.04,Active,BR014,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000055,CUST007297,Personal Loan,92794.64,26.06,60,2022-06-26,2027-05-31,55101.57,Active,BR020,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000056,CUST000817,Personal Loan,67936.51,25.3,60,2023-03-05,2028-02-07,41480.39,Active,BR008,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000057,CUST000577,Vehicle Finance,150641.45,18.33,72,2022-10-18,2028-09-16,112637.08,Active,BR019,Surety,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000058,CUST006903,Home Loan,1504925.03,10.93,240,2023-10-30,2043-07-17,1349435.75,Active,BR049,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000059,CUST003963,Vehicle Finance,580015.04,12.63,72,2023-07-10,2029-06-08,456114.72,Default,BR034,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000060,CUST008541,Home Loan,1539547.73,9.02,240,2023-05-05,2043-01-20,1394423.85,Active,BR047,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000061,CUST006309,Home Loan,1842997.48,8.9,240,2023-06-23,2043-03-10,1793598.48,Active,BR010,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000062,CUST009395,Personal Loan,107906.56,23.89,60,2022-02-08,2027-01-13,53030.37,Active,BR035,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000063,CUST004150,Home Loan,1671089.63,9.9,240,2020-05-08,2040-01-24,1396299.25,Active,BR021,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000064,CUST000319,Home Loan,561079.97,11.83,240,2022-01-18,2041-10-05,520577.83,Active,BR030,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000065,CUST004526,Home Loan,2168812.65,9.0,240,2022-10-08,2042-06-25,2238469.71,Active,BR013,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000066,CUST007346,Personal Loan,33156.36,28.94,60,2018-10-22,2023-09-26,142.1,Active,BR046,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000067,CUST007764,Vehicle Finance,595469.49,10.51,72,2020-05-04,2026-04-03,108868.29,Active,BR019,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000068,CUST000957,Vehicle Finance,300891.92,16.65,72,2021-06-18,2027-05-18,156714.35,Active,BR027,Cash Deposit,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000069,CUST006635,Personal Loan,82850.44,26.06,60,2019-01-01,2023-12-06,11951.31,Active,BR028,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000070,CUST001750,Vehicle Finance,126352.22,15.21,72,2023-06-12,2029-05-11,101256.08,Active,BR025,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000071,CUST002060,Personal Loan,46453.51,29.38,60,2020-11-18,2025-10-23,14056.54,Active,BR009,Surety,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000072,CUST005608,Personal Loan,139078.03,14.07,60,2018-10-26,2023-09-30,16867.97,Active,BR020,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000073,CUST008103,Home Loan,1717689.93,10.36,240,2021-11-18,2041-08-05,1651319.24,Active,BR045,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000074,CUST007829,Personal Loan,136620.4,15.64,60,2020-06-20,2025-05-25,28580.6,Active,BR015,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000075,CUST003756,Personal Loan,141274.01,21.98,60,2018-04-07,2023-03-12,9873.18,Active,BR041,Cash Deposit,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000076,CUST005086,Personal Loan,45164.01,17.03,60,2021-05-04,2026-04-08,11767.89,Active,BR009,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000077,CUST006358,Personal Loan,136358.42,20.92,60,2020-01-04,2024-12-08,0.0,Closed,BR001,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000078,CUST009237,Vehicle Finance,553420.73,10.32,72,2022-11-06,2028-10-05,387807.85,Active,BR016,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000079,CUST004969,Personal Loan,83898.95,21.03,60,2023-07-06,2028-06-09,70552.97,Active,BR011,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000080,CUST008660,Home Loan,1394153.36,11.17,240,2019-06-18,2039-03-05,1017919.45,Default,BR021,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000081,CUST000743,Home Loan,981055.73,12.02,240,2020-02-26,2039-11-13,818259.63,Active,BR024,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000082,CUST000445,Personal Loan,62884.77,28.37,60,2020-04-01,2025-03-06,1537.8,Active,BR006,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000083,CUST004816,Personal Loan,99791.6,19.48,60,2018-02-23,2023-01-28,0.0,Closed,BR049,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000084,CUST002259,Home Loan,1279911.39,11.73,240,2023-07-01,2043-03-18,1183174.8,Active,BR021,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000085,CUST009465,Home Loan,1251634.97,12.02,240,2022-07-22,2042-04-08,1232362.05,Active,BR007,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000086,CUST008299,Personal Loan,83907.53,29.03,60,2019-04-16,2024-03-20,11892.39,Default,BR002,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000087,CUST008863,Home Loan,422247.2,10.26,240,2022-01-28,2041-10-15,357821.98,Active,BR021,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000088,CUST006661,Home Loan,1952018.4,11.78,240,2018-04-23,2038-01-08,1357414.39,Active,BR015,Cash Deposit,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000089,CUST003537,Home Loan,1089827.11,9.54,240,2018-05-16,2038-01-31,700919.38,Active,BR037,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000090,CUST002753,Business Loan,2485705.77,19.32,84,2019-01-20,2025-12-14,619978.36,Active,BR015,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000091,CUST009893,Vehicle Finance,677038.91,16.8,72,2018-11-04,2024-10-03,31260.4,Active,BR020,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000092,CUST003678,Personal Loan,119893.58,27.23,60,2018-12-02,2023-11-06,13229.23,Active,BR049,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000093,CUST002016,Personal Loan,47296.5,26.6,60,2020-07-06,2025-06-10,8794.2,Active,BR020,Cash Deposit,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000094,CUST005868,Personal Loan,12293.84,26.19,60,2019-03-12,2024-02-14,401.39,Active,BR045,Surety,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000095,CUST005149,Home Loan,1321675.19,11.23,240,2021-10-01,2041-06-18,1113248.64,Active,BR039,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000096,CUST003190,Vehicle Finance,164456.73,10.94,72,2021-06-15,2027-05-15,59402.2,Default,BR040,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000097,CUST004229,Home Loan,1466822.72,9.99,240,2023-11-24,2043-08-11,1589013.21,Written-Off,BR039,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000098,CUST000158,Vehicle Finance,676109.41,12.1,72,2018-01-01,2023-12-01,0.0,Closed,BR046,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000099,CUST005739,Home Loan,1174480.11,10.23,240,2021-06-14,2041-03-01,925626.7,Active,BR048,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000100,CUST007826,Vehicle Finance,665053.42,17.79,72,2021-03-05,2027-02-02,295360.34,Active,BR024,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000101,CUST007589,Personal Loan,145506.98,23.52,60,2020-01-22,2024-12-26,11450.35,Active,BR035,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000102,CUST001803,Credit Card,69407.8,20.21,12,2020-03-25,2021-03-20,5077.76,Active,BR037,Surety,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000103,CUST005380,Business Loan,4256497.03,13.93,84,2022-08-18,2029-07-12,3371130.65,Active,BR015,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000104,CUST002929,Business Loan,4221465.14,20.3,84,2020-10-25,2027-09-19,2226622.41,Active,BR015,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000105,CUST007832,Home Loan,353561.34,10.0,240,2023-08-08,2043-04-25,361807.64,Active,BR011,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000106,CUST007010,Home Loan,2087904.07,8.53,240,2019-10-03,2039-06-20,1571546.15,Active,BR006,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000107,CUST000136,Credit Card,78236.2,21.94,12,2018-11-02,2019-10-28,0.0,Closed,BR032,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000108,CUST004312,Personal Loan,69407.76,16.18,60,2020-12-07,2025-11-11,19754.99,Active,BR001,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000109,CUST006608,Business Loan,4236962.84,11.9,84,2018-02-22,2025-01-16,207969.12,Active,BR014,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000110,CUST005766,Personal Loan,101291.08,23.56,60,2018-12-23,2023-11-27,9496.66,Active,BR036,Surety,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000111,CUST001877,Personal Loan,104302.37,22.82,60,2018-01-11,2022-12-16,1591.73,Active,BR043,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000112,CUST007663,Vehicle Finance,373657.72,13.07,72,2023-11-19,2029-10-18,288438.21,Active,BR013,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000113,CUST001042,Personal Loan,133148.63,17.22,60,2022-06-01,2027-05-06,65348.1,Default,BR035,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000114,CUST005324,Business Loan,1925663.33,11.69,84,2019-02-03,2025-12-28,210809.93,Active,BR045,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000115,CUST001903,Home Loan,695867.48,8.99,240,2022-04-24,2042-01-09,653783.56,Active,BR043,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000116,CUST001537,Vehicle Finance,306246.69,16.25,72,2020-10-21,2026-09-20,101425.17,Active,BR038,Surety,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000117,CUST001529,Vehicle Finance,368974.74,17.65,72,2023-03-01,2029-01-28,291991.39,Active,BR011,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000118,CUST003661,Personal Loan,114119.37,22.71,60,2018-03-17,2023-02-19,2633.91,Active,BR007,Cash Deposit,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000119,CUST006648,Personal Loan,17620.2,24.01,60,2021-07-01,2026-06-05,6791.13,Active,BR024,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000120,CUST004270,Personal Loan,100474.58,29.08,60,2019-01-02,2023-12-07,1201.63,Active,BR032,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000121,CUST008309,Home Loan,1682940.14,8.56,240,2021-11-04,2041-07-22,1463480.08,Default,BR027,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000122,CUST005126,Personal Loan,50883.01,16.42,60,2023-05-26,2028-04-29,35386.21,Active,BR036,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000123,CUST004372,Home Loan,1366332.77,10.38,240,2020-07-07,2040-03-24,1032445.16,Default,BR015,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000124,CUST003140,Personal Loan,106253.57,15.36,60,2023-12-13,2028-11-16,86000.28,Active,BR023,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000125,CUST005928,Home Loan,1923502.32,9.55,240,2018-04-20,2038-01-05,1388694.64,Active,BR034,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000126,CUST008083,Vehicle Finance,131395.34,13.3,72,2022-04-12,2028-03-11,69907.71,Active,BR040,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000127,CUST009707,Home Loan,568059.5,11.32,240,2023-02-04,2042-10-22,559846.39,Active,BR042,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000128,CUST009341,Home Loan,2198301.61,9.03,240,2022-04-10,2041-12-26,1838736.14,Default,BR028,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000129,CUST000812,Personal Loan,132563.52,23.33,60,2023-03-07,2028-02-09,88691.26,Active,BR024,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000130,CUST008501,Personal Loan,28344.72,14.8,60,2020-08-04,2025-07-09,2258.51,Active,BR001,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000131,CUST004820,Credit Card,61548.96,21.12,12,2022-05-05,2023-04-30,4482.6,Active,BR038,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000132,CUST005638,Home Loan,856289.91,8.89,240,2023-01-26,2042-10-13,811143.6,Active,BR048,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000133,CUST003837,Personal Loan,147751.21,21.72,60,2020-01-14,2024-12-18,16718.69,Active,BR044,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000134,CUST001427,Vehicle Finance,532308.62,13.53,72,2018-05-30,2024-04-28,17880.96,Active,BR016,Cash Deposit,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000135,CUST007454,Personal Loan,123423.78,19.88,60,2022-06-04,2027-05-09,65986.27,Active,BR039,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000136,CUST000199,Home Loan,1082312.62,11.75,240,2019-04-30,2039-01-15,864011.94,Active,BR011,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000137,CUST002229,Vehicle Finance,323629.93,14.39,72,2018-07-04,2024-06-02,0.0,Closed,BR030,Cash Deposit,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000138,CUST008132,Home Loan,693453.29,9.59,240,2020-01-13,2039-09-30,612542.59,Active,BR034,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000139,CUST008384,Personal Loan,103537.67,26.6,60,2020-03-04,2025-02-06,8164.27,Default,BR044,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000140,CUST004227,Home Loan,2950085.39,10.58,240,2023-02-20,2042-11-07,3096486.15,Active,BR026,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000141,CUST000767,Credit Card,51593.63,22.44,12,2020-01-13,2021-01-07,0.0,Closed,BR011,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000142,CUST001433,Vehicle Finance,149435.6,14.21,72,2022-11-06,2028-10-05,98257.91,Active,BR038,Surety,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000143,CUST007582,Personal Loan,6923.94,26.79,60,2021-06-05,2026-05-10,1709.93,Active,BR005,Property,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000144,CUST000164,Vehicle Finance,590091.39,10.01,72,2020-07-05,2026-06-04,158028.19,Active,BR012,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000145,CUST007081,Vehicle Finance,209029.17,12.14,72,2019-12-12,2025-11-10,23658.45,Active,BR035,Vehicle,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000146,CUST002809,Personal Loan,140475.36,14.46,60,2018-08-23,2023-07-28,0.0,Closed,BR005,Cash Deposit,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000147,CUST009906,Home Loan,2282121.38,10.69,240,2022-01-30,2041-10-17,1881620.72,Active,BR038,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000148,CUST002162,Personal Loan,32108.99,21.33,60,2023-09-16,2028-08-20,25814.89,Active,BR038,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000149,CUST009744,Personal Loan,135848.09,25.76,60,2022-05-04,2027-04-08,71781.75,Active,BR033,Cash Deposit,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000150,CUST003676,Home Loan,897774.47,8.95,240,2022-12-03,2042-08-20,887484.64,Active,BR014,Surety,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
LOAN0000151,CUST009164,Home Loan,2879492.65,11.82,240,2019-10-11,2039-06-28,2377647.38,Active,BR044,None,LOAN_ORIGINATION,2026-04-18 13:21:49.035106
