collection_id,loan_id,collector_id,action_date,action_type,outcome,promised_amount,next_action_date,escalation_level,source_system,record_created_at
COL0000035,LOAN0001438,AGENT018,2019-04-05,Outbound Call,Promise to Pay,40964.94,2022-12-14,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.214234
COL0000036,LOAN0014754,AGENT024,2024-04-15,Outbound Call,No Contact,7766.17,2023-07-15,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.214267
COL0000037,LOAN0012359,AGENT023,2019-12-02,Legal Notice,Promise to Pay,7929.59,2022-04-06,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.214301
COL0000038,LOAN0005684,AGENT015,2023-04-06,Outbound Call,Promise to Pay,49344.09,2024-03-09,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.214336
COL0000039,LOAN0001305,AGENT028,2022-11-21,SMS,No Contact,5039.01,2019-11-05,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.214369
COL0000040,LOAN0000254,AGENT029,2023-06-08,Outbound Call,Promise to Pay,5249.72,2019-11-26,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.214404
COL0000041,LOAN0005014,AGENT023,2020-02-24,SMS,Agreed Arrangement,26469.5,2021-07-16,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.214466
COL0000042,LOAN0000478,AGENT024,2019-11-08,Outbound Call,Paid in Full,10146.79,2021-01-12,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.214504
COL0000043,LOAN0013227,AGENT026,2023-01-19,Email,Partial Payment,29086.26,2024-07-04,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.214537
COL0000044,LOAN0004235,AGENT013,2023-07-18,Email,Agreed Arrangement,11809.42,2019-01-17,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.214580
COL0000045,LOAN0013007,AGENT005,2022-09-05,Email,Paid in Full,2448.66,2023-07-05,Legal,COLLECTIONS_CRM,2026-04-18 13:21:59.214617
COL0000046,LOAN0008449,AGENT019,2019-01-01,Letter,No Contact,20583.63,2020-11-14,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.214650
COL0000047,LOAN0013858,AGENT024,2024-07-11,SMS,Dispute Raised,40409.73,2023-10-30,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.214688
COL0000048,LOAN0008354,AGENT030,2022-05-19,SMS,Promise to Pay,38484.61,2019-03-22,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.214720
COL0000049,LOAN0015708,AGENT004,2022-09-07,Legal Notice,Dispute Raised,46913.6,2021-11-16,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.214752
COL0000050,LOAN0006468,AGENT007,2023-02-05,SMS,Agreed Arrangement,21924.59,2019-02-07,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.214785
COL0000051,LOAN0006618,AGENT022,2022-04-21,Letter,Promise to Pay,48717.28,2020-02-04,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.214826
COL0000052,LOAN0005069,AGENT029,2022-07-28,SMS,Promise to Pay,32888.46,2020-09-25,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.214859
COL0000053,LOAN0005470,AGENT007,2021-08-19,Outbound Call,Promise to Pay,19878.88,2021-02-17,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.214892
COL0000054,LOAN0016748,AGENT029,2019-01-25,SMS,Promise to Pay,21740.47,2019-04-25,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.214924
COL0000055,LOAN0004788,AGENT021,2022-03-10,SMS,No Contact,1206.09,2020-06-16,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.214964
COL0000056,LOAN0001599,AGENT020,2024-06-20,Email,Promise to Pay,4339.4,2024-01-25,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.214996
COL0000057,LOAN0011490,AGENT022,2024-06-16,Legal Notice,Dispute Raised,8240.01,2022-08-19,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.215029
COL0000058,LOAN0016111,AGENT007,2021-10-12,Outbound Call,No Contact,41912.01,2020-03-04,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.215083
COL0000059,LOAN0005547,AGENT019,2021-01-29,SMS,No Contact,828.0,2021-03-23,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.215119
COL0000060,LOAN0017098,AGENT025,2024-06-05,SMS,No Contact,25241.2,2022-05-17,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.215170
COL0000061,LOAN0014463,AGENT025,2023-01-23,Restructure Offer,No Contact,44566.21,2022-06-09,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.215211
COL0000062,LOAN0015604,AGENT003,2019-02-19,Email,Dispute Raised,10934.58,2019-10-28,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.215244
COL0000063,LOAN0006040,AGENT025,2019-12-11,SMS,Paid in Full,32809.2,2019-09-04,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.215276
COL0000064,LOAN0014277,AGENT006,2019-08-12,Outbound Call,No Contact,32399.83,2020-10-12,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.215309
COL0000065,LOAN0016659,AGENT013,2021-05-24,Outbound Call,Promise to Pay,25282.49,2025-01-05,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.215350
COL0000066,LOAN0009008,AGENT030,2024-12-13,Legal Notice,No Contact,20259.5,2021-04-12,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.215389
COL0000067,LOAN0006641,AGENT002,2020-05-24,Outbound Call,No Contact,9412.25,2022-09-04,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.215455
COL0000068,LOAN0004457,AGENT021,2022-02-16,Email,Partial Payment,32157.3,2024-06-08,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.215488
COL0000069,LOAN0013292,AGENT020,2019-01-02,Outbound Call,Partial Payment,47656.51,2019-05-23,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.215528
COL0000070,LOAN0012862,AGENT011,2022-01-07,Field Visit,No Contact,33855.31,2021-09-09,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.215587
COL0000071,LOAN0000549,AGENT030,2019-05-26,Outbound Call,No Contact,29957.78,2019-03-15,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.215623
COL0000072,LOAN0004039,AGENT030,2024-02-07,Email,Promise to Pay,31641.59,2019-04-13,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.215656
COL0000073,LOAN0016136,AGENT006,2024-09-19,Email,No Contact,9159.3,2024-01-17,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.215689
COL0000074,LOAN0010772,AGENT001,2023-10-27,SMS,Partial Payment,36047.75,2019-11-11,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.215721
COL0000075,LOAN0010782,AGENT020,2021-01-10,Email,Dispute Raised,49006.91,2022-05-01,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.215754
COL0000076,LOAN0009024,AGENT009,2022-10-27,SMS,Promise to Pay,47437.13,2021-06-29,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.215787
COL0000077,LOAN0016214,AGENT018,2023-07-16,Outbound Call,Paid in Full,13731.16,2021-05-22,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.215819
COL0000078,LOAN0016938,AGENT021,2020-02-06,Outbound Call,Dispute Raised,47353.92,2020-12-07,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.215853
COL0000079,LOAN0010069,AGENT015,2023-09-24,Outbound Call,Partial Payment,27687.5,2019-08-28,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.215884
COL0000080,LOAN0012380,AGENT020,2024-08-02,SMS,Promise to Pay,42650.61,2021-12-27,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.215917
COL0000081,LOAN0004872,AGENT016,2019-10-21,Field Visit,Partial Payment,16488.85,2019-07-24,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.215950
COL0000082,LOAN0006912,AGENT016,2024-05-09,Promise to Pay Follow-Up,Relocated,23028.8,2021-02-01,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.215982
COL0000083,LOAN0010067,AGENT016,2023-04-08,SMS,Partial Payment,31636.51,2023-07-31,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.216015
COL0000084,LOAN0015616,AGENT003,2020-08-10,Outbound Call,Dispute Raised,1158.78,2021-05-04,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.216047
COL0000085,LOAN0004613,AGENT006,2021-05-22,Letter,Promise to Pay,12083.58,2023-01-18,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.216080
COL0000086,LOAN0014767,AGENT023,2020-07-27,Email,No Contact,39746.39,2019-04-09,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.216113
COL0000087,LOAN0003874,AGENT020,2024-04-13,Outbound Call,Dispute Raised,37981.64,2023-03-29,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.216165
COL0000088,LOAN0008250,AGENT008,2019-11-13,Email,Promise to Pay,15961.24,2022-01-25,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.216198
COL0000089,LOAN0013889,AGENT026,2022-10-26,SMS,Promise to Pay,25258.18,2024-05-05,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.216245
COL0000090,LOAN0007787,AGENT004,2024-07-11,Promise to Pay Follow-Up,No Contact,47622.94,2022-09-09,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.216288
COL0000091,LOAN0009376,AGENT026,2024-11-12,SMS,Promise to Pay,6907.06,2022-02-20,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.216323
COL0000092,LOAN0017390,AGENT003,2020-05-11,Outbound Call,No Contact,45213.35,2020-12-31,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.216356
COL0000093,LOAN0009468,AGENT015,2022-12-14,Outbound Call,Paid in Full,39712.85,2021-07-25,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.216389
COL0000094,LOAN0003490,AGENT026,2020-06-02,Outbound Call,Promise to Pay,26360.59,2020-03-04,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.216435
COL0000095,LOAN0004031,AGENT006,2021-12-13,Email,Paid in Full,34846.54,2024-09-19,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.216476
COL0000096,LOAN0001152,AGENT007,2020-02-28,SMS,Promise to Pay,19195.24,2022-02-27,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.216522
COL0000097,LOAN0013725,AGENT017,2024-07-18,SMS,No Contact,33807.63,2021-05-23,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.216554
COL0000098,LOAN0005686,AGENT008,2019-03-21,Restructure Offer,No Contact,12713.13,2021-01-20,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.216602
COL0000099,LOAN0009145,AGENT024,2021-11-26,SMS,Promise to Pay,35432.24,2021-01-03,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.216654
COL0000100,LOAN0010067,AGENT023,2019-03-26,Outbound Call,Partial Payment,19742.56,2021-01-23,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.216688
COL0000101,LOAN0014990,AGENT020,2022-10-30,Outbound Call,Paid in Full,25570.96,2023-12-24,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.216720
COL0000102,LOAN0005470,AGENT012,2024-03-10,SMS,No Contact,49419.78,2021-06-11,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.216752
COL0000103,LOAN0001124,AGENT025,2023-03-26,SMS,Partial Payment,10234.24,2023-10-05,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.216784
COL0000104,LOAN0002776,AGENT008,2021-12-03,Letter,No Contact,47296.01,2022-04-12,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.216817
COL0000105,LOAN0003825,AGENT006,2022-07-07,Outbound Call,Relocated,30609.74,2020-07-14,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.216851
COL0000106,LOAN0013845,AGENT013,2019-06-15,Outbound Call,No Contact,3599.28,2019-02-24,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.216900
COL0000107,LOAN0002000,AGENT027,2023-11-26,Promise to Pay Follow-Up,Promise to Pay,30634.05,2024-05-21,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.216933
COL0000108,LOAN0007109,AGENT006,2024-01-19,Letter,No Contact,45867.16,2019-12-15,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.216965
COL0000109,LOAN0011721,AGENT017,2024-02-04,Outbound Call,Promise to Pay,4690.02,2024-04-03,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.216997
COL0000110,LOAN0003679,AGENT015,2020-07-14,Outbound Call,No Contact,32637.52,2022-12-13,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.217030
COL0000111,LOAN0017710,AGENT001,2020-05-26,Field Visit,Partial Payment,36276.49,2020-11-06,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.217063
COL0000112,LOAN0009338,AGENT004,2024-05-11,Promise to Pay Follow-Up,Promise to Pay,25463.88,2024-08-10,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.217095
COL0000113,LOAN0005026,AGENT019,2019-04-15,Email,Promise to Pay,38926.76,2020-10-21,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.217134
COL0000114,LOAN0017534,AGENT021,2019-04-28,Outbound Call,No Contact,22965.04,2021-04-30,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.217175
COL0000115,LOAN0011573,AGENT015,2019-10-20,Legal Notice,Dispute Raised,49157.14,2020-05-29,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.217216
COL0000116,LOAN0010701,AGENT011,2021-07-02,Outbound Call,No Contact,477.49,2022-05-03,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.217262
COL0000117,LOAN0010141,AGENT028,2021-12-23,SMS,No Contact,7638.36,2023-01-29,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.217300
COL0000118,LOAN0000475,AGENT016,2021-11-22,Letter,Promise to Pay,11951.98,2022-05-11,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.217357
COL0000119,LOAN0008388,AGENT027,2021-09-07,SMS,No Contact,8154.92,2022-06-07,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.217391
COL0000120,LOAN0015177,AGENT012,2020-12-08,Letter,Paid in Full,6190.79,2022-03-29,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.217437
COL0000121,LOAN0001927,AGENT003,2020-05-15,Outbound Call,Promise to Pay,11495.82,2020-07-05,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.217471
COL0000122,LOAN0012328,AGENT006,2022-06-19,Email,Paid in Full,10245.8,2024-07-27,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.217504
COL0000123,LOAN0010100,AGENT023,2022-09-30,Outbound Call,Paid in Full,33806.63,2023-11-01,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.217536
COL0000124,LOAN0007648,AGENT008,2021-04-07,Letter,Promise to Pay,35481.13,2019-12-27,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.217596
COL0000125,LOAN0009093,AGENT025,2023-08-27,SMS,No Contact,25067.78,2019-12-08,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.217631
COL0000126,LOAN0005517,AGENT017,2020-08-16,Email,No Contact,23137.93,2021-08-12,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.217663
COL0000127,LOAN0005583,AGENT004,2019-06-05,Field Visit,Partial Payment,45303.73,2024-02-23,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.217716
COL0000128,LOAN0000288,AGENT027,2024-09-26,SMS,Relocated,17049.26,2022-04-05,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.217752
COL0000129,LOAN0010836,AGENT028,2023-08-10,Promise to Pay Follow-Up,Agreed Arrangement,42719.1,2021-09-19,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.217785
COL0000130,LOAN0013826,AGENT025,2019-09-04,Outbound Call,No Contact,2491.95,2020-03-26,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.217817
COL0000131,LOAN0016965,AGENT030,2022-05-19,SMS,Agreed Arrangement,33440.82,2020-09-10,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.217850
COL0000132,LOAN0003379,AGENT026,2023-07-03,SMS,Dispute Raised,41227.27,2022-06-10,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.217882
COL0000133,LOAN0012491,AGENT019,2019-01-24,Legal Notice,Promise to Pay,16337.34,2019-08-16,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.217914
COL0000134,LOAN0008813,AGENT025,2019-08-18,Outbound Call,Partial Payment,14413.51,2022-09-28,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.217946
COL0000135,LOAN0008041,AGENT028,2019-06-09,Letter,Paid in Full,11764.69,2020-03-13,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.217978
COL0000136,LOAN0017979,AGENT028,2019-05-10,Outbound Call,Promise to Pay,31425.91,2024-03-11,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.218015
COL0000137,LOAN0013090,AGENT018,2024-12-08,Legal Notice,Promise to Pay,23519.78,2025-01-05,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.218048
COL0000138,LOAN0005037,AGENT028,2024-10-21,Outbound Call,Agreed Arrangement,35728.19,2021-06-13,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.218080
COL0000139,LOAN0014791,AGENT027,2019-07-24,Outbound Call,Relocated,10428.48,2021-08-28,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.218112
COL0000140,LOAN0000198,AGENT003,2019-11-18,SMS,No Contact,3459.02,2024-06-01,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.218157
COL0000141,LOAN0017337,AGENT018,2023-04-09,Outbound Call,Promise to Pay,20964.9,2022-03-29,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.218192
COL0000142,LOAN0003549,AGENT011,2021-08-11,Email,Promise to Pay,8186.15,2022-01-26,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.218225
COL0000143,LOAN0001588,AGENT024,2024-03-08,Email,No Contact,46347.76,2023-03-29,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.218263
COL0000144,LOAN0007808,AGENT011,2020-04-04,SMS,Dispute Raised,18038.34,2021-02-18,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.218315
COL0000145,LOAN0015785,AGENT011,2021-01-29,Restructure Offer,Promise to Pay,10111.34,2024-09-16,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.218351
COL0000146,LOAN0012577,AGENT024,2022-10-04,Email,No Contact,44347.94,2021-02-12,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.218391
COL0000147,LOAN0006556,AGENT012,2020-12-01,Letter,Promise to Pay,19153.11,2022-01-17,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.218451
COL0000148,LOAN0014789,AGENT006,2021-06-29,Promise to Pay Follow-Up,Paid in Full,42009.41,2019-06-17,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.218485
COL0000149,LOAN0013040,AGENT012,2024-12-09,Letter,No Contact,3245.24,2024-04-23,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.218517
COL0000150,LOAN0004991,AGENT021,2021-03-22,Outbound Call,Promise to Pay,3328.86,2023-06-02,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.218551
COL0000151,LOAN0006241,AGENT008,2023-11-19,Field Visit,No Contact,21579.99,2024-10-09,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.218594
COL0000152,LOAN0002995,AGENT025,2021-10-19,Letter,Promise to Pay,33815.89,2022-08-01,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.218635
COL0000153,LOAN0013406,AGENT005,2023-03-17,Promise to Pay Follow-Up,Partial Payment,49403.04,2020-05-28,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.218679
COL0000154,LOAN0007699,AGENT008,2021-06-04,Email,Relocated,37679.06,2024-09-09,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.218712
COL0000155,LOAN0017337,AGENT005,2024-06-11,SMS,Agreed Arrangement,35689.72,2024-03-22,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.218746
COL0000156,LOAN0017699,AGENT014,2019-06-02,Letter,Promise to Pay,12623.48,2019-06-22,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.218800
COL0000157,LOAN0005714,AGENT008,2023-01-22,Letter,Agreed Arrangement,38787.07,2023-10-30,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.218835
COL0000158,LOAN0007184,AGENT026,2020-06-21,Outbound Call,Promise to Pay,28495.54,2023-08-05,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.218867
COL0000159,LOAN0017549,AGENT007,2022-02-19,SMS,Partial Payment,43837.44,2024-09-17,Level 3,COLLECTIONS_CRM,2026-04-18 13:21:59.218900
COL0000160,LOAN0006921,AGENT004,2024-06-26,Outbound Call,Partial Payment,20434.83,2024-02-20,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.218933
COL0000161,LOAN0008047,AGENT028,2019-06-04,Email,Promise to Pay,15064.72,2019-02-10,Level 1,COLLECTIONS_CRM,2026-04-18 13:21:59.218965
COL0000162,LOAN0011555,AGENT021,2023-05-03,Outbound Call,No Contact,14502.41,2019-06-29,Level 2,COLLECTIONS_CRM,2026-04-18 13:21:59.218997
